variable,scenario,model,fname,fpath
PEDsrad,historical,ACCESS-CM2_CCAM,PEDsrad_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/PEDsrad/PEDsrad_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
PEDsrad,historical,AWI-CM-1-1-MR_CCAM,PEDsrad_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/PEDsrad/PEDsrad_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
PEDsrad,historical,CNRM-CM6-1_CCAM,PEDsrad_historical_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/PEDsrad/PEDsrad_historical_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
PEDsrad,historical,EC-Earth3_CCAM,PEDsrad_historical_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/PEDsrad/PEDsrad_historical_EC-Earth3_CCAM_daily_NZ5km_bc.nc
PEDsrad,historical,GFDL-ESM4_CCAM,PEDsrad_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/PEDsrad/PEDsrad_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
PEDsrad,historical,NorESM2-MM_CCAM,PEDsrad_historical_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/PEDsrad/PEDsrad_historical_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
PETsrad,historical,ACCESS-CM2_CCAM,PETsrad_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/PETsrad/PETsrad_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
PETsrad,historical,AWI-CM-1-1-MR_CCAM,PETsrad_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/PETsrad/PETsrad_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
PETsrad,historical,CNRM-CM6-1_CCAM,PETsrad_historical_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/PETsrad/PETsrad_historical_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
PETsrad,historical,EC-Earth3_CCAM,PETsrad_historical_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/PETsrad/PETsrad_historical_EC-Earth3_CCAM_daily_NZ5km_bc.nc
